Titile	Authors	Abstract	Published Year	Published Month	Journal	Volume	Issue	Pages	Accession Number	DOI	Ref	Covidence #	Study	Notes	Tags	DOI	Institute	Country
The possibility of COVID-19 transmission from eye to nose	Qing, Huiling; Li, Zhijie; Yang, Zhengwei; Shi, Menghai; Huang, Zixu; Song, Jinghui; Song, Zongming	NA	2020	NA	Acta Ophthalmologica	n/a	n/a	NA	NA	10.1111/aos.14412	9896	#9471	Qing 2020	NA	Infection prevention and control	10.1111/aos.14412	Department of Ophthalmology, Henan Eye Institute, Henan Eye Hospital, Henan provincial People‚Äôs Hospital and People‚Äôs Hospital of Zhengzhou University, Zhengzhou, China|Department of Ophthalmology, Henan Eye Institute, Henan Eye Hospital, Henan provincial People‚Äôs Hospital and People‚Äôs Hospital of Zhengzhou University, Zhengzhou, China|Department of Ophthalmology, Henan Eye Institute, Henan Eye Hospital, Henan provincial People‚Äôs Hospital and People‚Äôs Hospital of Zhengzhou University, Zhengzhou, China|Department of Ophthalmology, Henan Eye Institute, Henan Eye Hospital, Henan provincial People‚Äôs Hospital and People‚Äôs Hospital of Zhengzhou University, Zhengzhou, China|Department of Ophthalmology, Henan Eye Institute, Henan Eye Hospital, Henan provincial People‚Äôs Hospital and People‚Äôs Hospital of Zhengzhou University, Zhengzhou, China|Department of infectious disease, Henan provincial People‚Äôs Hospital, Zhengzhou, China|Department of Ophthalmology, Henan Eye Institute, Henan Eye Hospital, Henan provincial People‚Äôs Hospital and People‚Äôs Hospital of Zhengzhou University, Zhengzhou, China|Department of Ophthalmology|Department of Ophthalmology, Henan Eye Institute, Henan Eye Hospital, Henan provincial People‚Äôs Hospital and People‚Äôs Hospital of Zhengzhou University, Zhengzhou, China|Department of Ophthalmology, Henan Eye Institute, Henan Eye Hospital, Henan provincial People‚Äôs Hospital and People‚Äôs Hospital of Zhengzhou University, Zhengzhou, China|Department of Ophthalmology, Henan Eye Institute, Henan Eye Hospital, Henan provincial People‚Äôs Hospital and People‚Äôs Hospital of Zhengzhou University, Zhengzhou, China|Department of Ophthalmology, Henan Eye Institute, Henan Eye Hospital, Henan provincial People‚Äôs Hospital and People‚Äôs Hospital of Zhengzhou University, Zhengzhou, China|Department of Ophthalmology, Henan Eye Institute, Henan Eye Hospital, Henan provincial People‚Äôs Hospital and People‚Äôs Hospital of Zhengzhou University, Zhengzhou, China|Department of infectious disease, Henan provincial People‚Äôs Hospital, Zhengzhou, China|Department of Ophthalmology, Henan Eye Institute, Henan Eye Hospital, Henan provincial People‚Äôs Hospital and People‚Äôs Hospital of Zhengzhou University, Zhengzhou, China|Department of Ophthalmology	('China', 14)
Survey of ophthalmology practitioners in A&E on current COVID-19 guidance at three Major UK Eye Hospitals	Minocha, Amal; Sim, Sing Yue; Than, Jonathan; Vakros, Georgios	NA	2020	NA	Eye (London, England)	NA	NA	NA	NA	10.1038/s41433-020-0857-5	45141	#42118	Minocha 2020	NA	NA	10.1038/s41433-020-0857-5	Department of Ophthalmology, Hillingdon Hospitals NHS Foundation Trust, London, UK	('UK', 1)
Revisiting the dangers of the coronavirus in the ophthalmology practice	Seah, Ivan; Su, Xinyi; Lingam, Gopal	A possible threat in the ophthalmology clinic While the 2019-nCoV transmission route is still unknown, countries have been preparing measures based on past experiences with coronaviruses namely SARS-CoV and MERS-CoV. These viruses transmit primarily through droplets and other bodily secretions. In the ophthalmology practice, healthcare workers may be particularly susceptible to these infections. Firstly, ophthalmologists are extremely reliant on physical examination during patient consultation. Of particular concern is the proximity between the patient and ophthalmologist during the slit lamp microscope examination. It has been shown that droplets from a cough or sneeze can be propelled for up to 6?m [8], a range that definitely encompasses the distance between the patient and ophthalmologist. Secondly, during the SARS-CoV epidemic, clinical reports have suggested tears as a medium of infection. In a case series by Loon et al., it was shown that viral RNA of the SARS-CoV can be detected by reverse-transcription polymerase chain reaction (RT-PCR) from the tears of infected individuals [9]. While anecdotal in nature, such accounts highlight the possible infectivity of tears, a fluid which ophthalmologists and instruments come in contact on a daily basis. If true, this represents a crucial need for further development of disinfection and personal protective equipment (PPE) protocols for the ophthalmology clinic.SN - 1476-5454	2020	NA	Eye	NA	NA	NA	NA	10.1038/s41433-020-0790-7	636	#375	Seah 2020	NA	* Narrative review; Infection prevention and control	10.1038/s41433-020-0790-7	Department of Ophthalmology, National University Hospital, Singapore, Singapore|Institute of Molecular and Cell Biology (IMCB), Agency for Science, Technology and Research (A*STAR), Singapore, Singapore|Department of Ophthalmology, Yong Loo Lin School of Medicine, National University Singapore, Singapore, Singapore	('Singapore', 7)
Maxillofacial Trauma Management During COVID-19: Multidisciplinary Recommendations	Edwards, Sean P.; Kasten, Steve; Nelson, Christine; Elner, Vic; McKean, Erin	NA	2020	NA	Facial Plastic Surgery & Aesthetic Medicine	NA	NA	fpsam.2020.0158-fpsam.2020.0158	NA	10.1089/fpsam.2020.0158	37752	#38575	Edwards 2020	NA	NA	10.1089/fpsam.2020.0158	Department of Ophthalmology, Oculoplastics Division, University of Michigan‚ÄîMichigan Medicine, Ann Arbor, Michigan.|Department of Ophthalmology, Oculoplastics Division, University of Michigan‚ÄîMichigan Medicine, Ann Arbor, Michigan.|Department of Otolaryngology‚ÄîHead and Neck Surgery, University of Michigan‚ÄîMichigan Medicine, Ann Arbor, Michigan.|Department of Neurosurgery, University of Michigan‚ÄîMichigan Medicine, Ann Arbor, Michigan.	NA
Coronavirus disease 2019 (COVID-19) outbreak at the Department of Ophthalmology, Oslo University Hospital, Norway	JÃ¸rstad, Ã˜ystein Kalsnes; Moe, Morten Carstens; Eriksen, Ketil; Petrovski, Goran; BragadÃ³ttir, RagnheiÃ°ur	NA	2020	NA	Acta ophthalmologica	NA	NA	NA	NA	10.1111/aos.14426	21090	#20892	JÃ¸rstad 2020	NA	NA	10.1111/aos.14426	Department of Ophthalmology, Oslo University Hospital, Oslo, Norway|Institute of clinical medicine, Faculty of medicine, University of Oslo, Oslo, Norway|Department of Ophthalmology, Oslo University Hospital|Department of Ophthalmology, Oslo University Hospital, Oslo, Norway|Institute of clinical medicine, Faculty of medicine, University of Oslo, Oslo, Norway|Department of Ophthalmology, Oslo University Hospital, Oslo, Norway|Department of Ophthalmology, Oslo University Hospital, Oslo, Norway|Institute of clinical medicine, Faculty of medicine, University of Oslo, Oslo, Norway|Department of Ophthalmology, Oslo University Hospital, Oslo, Norway|Institute of clinical medicine, Faculty of medicine, University of Oslo, Oslo, Norway|Department of Ophthalmology, Oslo University Hospital, Oslo, Norway|Institute of clinical medicine, Faculty of medicine, University of Oslo, Oslo, Norway|Department of Ophthalmology, Oslo University Hospital|Department of Ophthalmology, Oslo University Hospital, Oslo, Norway|Institute of clinical medicine, Faculty of medicine, University of Oslo, Oslo, Norway|Department of Ophthalmology, Oslo University Hospital, Oslo, Norway|Department of Ophthalmology, Oslo University Hospital, Oslo, Norway|Institute of clinical medicine, Faculty of medicine, University of Oslo, Oslo, Norway|Department of Ophthalmology, Oslo University Hospital, Oslo, Norway|Institute of clinical medicine, Faculty of medicine, University of Oslo, Oslo, Norway	('Norway', 18)
Reply to ocular manifestation, eye protection, and COVID-19	Lai, Tracy H. T.; Tang, Emily W. H.; Chau, Sandy K. Y.; Li, Kenneth K. W.	NA	2020	NA	Graefe's Archive for Clinical and Experimental Ophthalmology	NA	NA	1-Jan	NA	10.1007/s00417-020-04663-2	26042	#23800	Lai 2020	NA	NA	10.1007/s00417-020-04663-2	Department of Ophthalmology, United Christian Hospital, 130 Hip Wo Street, Kwun Tong, Kowloon, Hong Kong SAR|Department of Ophthalmology, Tseung Kwan O Hospital, 2 Po Ning Path, Tseung Kwan O, Hong Kong SAR|Department of Pathology, Tseung Kwan O Hospital, 2 Po Ning Path, Tseung Kwan O, Hong Kong SAR	NA
Stepping up infection control measures in ophthalmology during the novel coronavirus outbreak: an experience from Hong Kong	Lai, Tracy H. T.; Tang, Emily W. H.; Chau, Sandy K. Y.; Fung, Kitty S. C.; Li, Kenneth K. W.	Coronavirus disease (COVID-19) has rapidly emerged as a global health threat. The purpose of this article is to share our local experience of stepping up infection control measures in ophthalmology to minimise COVID-19 infection of both healthcare workers and patients.	2020	NA	Graefe's Archive for Clinical and Experimental Ophthalmology	NA	NA	NA	NA	10.1007/s00417-020-04641-8	2724	#3156	Lai 2020	NA	* Narrative review; Infection prevention and control	10.1007/s00417-020-04641-8	Department of Ophthalmology, United Christian Hospital, 130 Hip Wo Street, Kwun Tong, Kowloon, Hong Kong SAR|Department of Ophthalmology, Tseung Kwan O Hospital, 2 Po Ning Path, Tseung Kwan O, Hong Kong SAR|Department of Pathology, Tseung Kwan O Hospital, 2 Po Ning Path, Tseung Kwan O, Hong Kong SAR|Department of Pathology, United Christian Hospital, 130 Hip Wo Street, Kwun Tong, Kowloon, Hong Kong SAR	NA
Reply to â€œDoes hand hygiene reduce SARS-CoV-2 transmission?â€	Lai, Tracy H. T.; Tang, Emily W. H.; Fung, Kitty S. C.; Li, Kenneth K. W.	NA	2020	NA	Graefe's Archive for Clinical and Experimental Ophthalmology	NA	NA	1-Jan	NA	10.1007/s00417-020-04653-4	17902	#18241	Lai 2020	NA	* Opinion piece; Infection prevention and control	10.1007/s00417-020-04653-4	Department of Ophthalmology, United Christian Hospital, 130 Hip Wo Street, Kwun Tong, Kowloon, Hong Kong SAR|Department of Ophthalmology, Tseung Kwan O Hospital, 2 Po Ning Path, Tseung Kwan O, Hong Kong SAR|Department of Pathology, United Christian Hospital, 130 Hip Wo Street, Kwun Tong, Kowloon, Hong Kong SAR	NA
Eyes on New Product Development	Novack, Gary D.	In this period, a long-used topical ocular antihistamine was approved for switching from prescription to over-the-counter, new treatments continue to be evaluated in the treatment of dry eye and external diseases, and novel drug delivery systems are being evaluated in the clinic for the treatment of retinal diseases. Clinical trials for gene and cell therapies continue, although with a possible warning about safety issues for some therapies considering the COVID-19 (corona virus) outbreak. Approvals for novel therapeutics continue worldwide, providing more options for ophthalmic treatment. Regulatory and public policy issues include the application of laws and regulations for treatments for orphan diseases, selection of brand names, the use of animals in safety testing, and the quality of real-world data for drug approval. Two firms are collaborating on the use of digital technologies to ophthalmic therapeutics. Finally, the impact of â€œpredatory journalsâ€ in the scientific community may be minimal. Ophthalmic Pharmaceutic	2020	NA	Journal of Ocular Pharmacology and Therapeutics	NA	NA	jop.2020.29065.gdn-jop.2020.29065.gdn	NA	10.1089/jop.2020.29065.gdn	9817	#9612	Novack 2020	NA	* Narrative review; * Opinion piece; Clinical aspects, diagnosis, treatment	10.1089/jop.2020.29065.gdn	Department of Ophthalmology, University of California, Davis, School of Medicine, Sacramento, California.	NA
There may be virus in conjunctival secretion of patients with COVID-19	Liang, Liang; Wu, Ping	NA	2020	NA	Acta Ophthalmologica	n/a	n/a	NA	NA	10.1111/aos.14413	9897	#9385	Liang 2020	NA	* Case study/series; Clinical aspects, diagnosis, treatment	10.1111/aos.14413	Department of Ophthalmology, Yichang Central People's Hospital, The first college of Clinical Medical Science, China Three Gorges University, Yichang, P. R. China|Department of Ophthalmology|Department of Ophthalmology, Yichang Central People's Hospital, The first college of Clinical Medical Science, China Three Gorges University, Yichang, P. R. China|Department of Ophthalmology, Yichang Central People's Hospital, The first college of Clinical Medical Science, China Three Gorges University, Yichang, P. R. China|Department of Ophthalmology|Department of Ophthalmology, Yichang Central People's Hospital, The first college of Clinical Medical Science, China Three Gorges University, Yichang, P. R. China	('China', 8)
Evaluation of coronavirus in tears and conjunctival secretions of patients with SARS-CoV-2 infection	Xia, Jianhua; Tong, Jianping; Liu, Mengyun; Shen, Ye; Guo, Dongyu	OBJECTIVE: This study aimed to assess the presence of novel coronavirus in tears and conjunctival secretions of SARS-CoV-2 infected patients. METHODS: A prospective interventional case series study was performed, and 30 confirmed novel coronavirus pneumonia (NCP) patients were selected at the First Affiliated Hospital of Zhejiang University from January 26, 2020 to February 9, 2020. At an interval of 2-3 days, tear and conjunctival secretions were collected twice with disposable sampling swabs for reverse transcription polymerase chain reaction (RT-PCR) assay. RESULTS: 21 common type and 9 severe type NCP patients were enrolled. Two samples of tear and conjunctival secretions were obtained from the only one patient with conjunctivitis yielded positive RT-PCR results. 58 samples from other patents were all negative. CONCLUSION: We speculate that SARS-CoV-2 may be detected in the tears and conjunctival secretions in NCP patients with conjunctivitis. This article is protected by copyright. All rights reserved.	2020	NA	J Med Virol	NA	NA	10.1002/jmv.25725	32100876	10.1002/jmv.25725	1324	#2115	Xia 2020	NA	* Case study/series; Clinical aspects, diagnosis, treatment	10.1002/jmv.25725	Department of Ophthalmology, Zhejiang University School of Medicine First Affiliated Hospital, Hangzhou, Zhejiang, China|Department of Ophthalmology, Zhejiang University School of Medicine First Affiliated Hospital, Hangzhou, Zhejiang, China|Department of Ophthalmology, Zhejiang University School of Medicine First Affiliated Hospital, Hangzhou, Zhejiang, China|Department of Ophthalmology, Zhejiang University School of Medicine First Affiliated Hospital, Hangzhou, Zhejiang, China|Department of Ophthalmology, Zhejiang University School of Medicine First Affiliated Hospital, Hangzhou, Zhejiang, China|Department of Ophthalmology, Zhejiang University School of Medicine First Affiliated Hospital, Hangzhou, Zhejiang, China|Department of Ophthalmology, Zhejiang University School of Medicine First Affiliated Hospital, Hangzhou, Zhejiang, China|Department of Ophthalmology, Zhejiang University School of Medicine First Affiliated Hospital, Hangzhou, Zhejiang, China|Department of Ophthalmology, Zhejiang University School of Medicine First Affiliated Hospital, Hangzhou, Zhejiang, China|Department of Ophthalmology, Zhejiang University School of Medicine First Affiliated Hospital, Hangzhou, Zhejiang, China	('China', 10)
COVID-19 and smoking: A systematic review of the evidence	Vardavas, C. I.; Nikitara, K.	NA	2020	NA	Tobacco induced diseases	18	NA	20	32206052	10.18332/tid/119324	15193	#13939	Vardavas 2020	NA	* Narrative review	10.18332/tid/119324	Department of Oral Health Policy and Epidemiology, Harvard School of Dental Medicine, Boston, United States	('United States', 1)
Whatâ€™s Important: Weathering the COVID-19 Crisis: Time for Leadership, Vigilance, and Unity	Halawi, Mohamad J.; Wang, Daniel D.; Hunt, Thomas R. III	NA	9000	NA	JBJS	Latest Articles	NA	NA	00004623-900000000-99771	10.2106/jbjs.20.00419	44903	#42251	Halawi 9000	NA	NA	10.2106/jbjs.20.00419	Department of Orthopaedic Surgery, Baylor College of Medicine, Houston, Texas	NA
Novel Coronavirus and Orthopaedic Surgery: Early Experiences from Singapore	Chang Liang, Zhen; Wang, Wilson; Murphy, Diarmuid; Po Hui, James Hoi	NA	2020	NA	JBJS	Latest Articles	NA	NA	00004623-900000000-99807	10.2106/jbjs.20.00236	10807	#10409	ChangLiang 2020	NA	* Opinion piece; Clinical aspects, diagnosis, treatment	10.2106/jbjs.20.00236	Department of Orthopaedic Surgery, National University of Singapore, National University Health System, Singapore	('Singapore', 2)
COVID-19: A Singapore Orthopedic resident's musings in the Emergency Department	Liang, Z. C.; Ooi, S. B. S.	I felt my heart skip a beat as I took off my lead gown, preparing to put in my post-operative orders. A transient wave of apprehension, and I daresay fear swept past me that very moment. It has been a good 8 years since I've graduated medical school, with nary an exposure to emergency medicine since my intern days. I wasn't sure I could remember how to read an EKG accurately, much less manage a patient in respiratory failure.	2020	NA	Academic emergency medicine : official journal of the Society for Academic Emergency Medicine	NA	NA	NA	32198801	10.1111/acem.13970	12250	#11367	Liang 2020	NA	* Case study/series; Clinical aspects, diagnosis, treatment	10.1111/acem.13970	Department of Orthopaedic Surgery, University Orthopaedics, Hand and Reconstructive Microsurgery Cluster, National University Health System, Singapore|Department of Orthopaedic Surgery, Yong Loo Lin School of Medicine, National University of Singapore, Singapore|Department of Surgery, Yong Loo Lin School of Medicine, National University of Singapore, Singapore|Department of Orthopaedic Surgery, University Orthopaedics, Hand and Reconstructive Microsurgery Cluster, National University Health System, Singapore|Department of Orthopaedic Surgery, Yong Loo Lin School of Medicine, National University of Singapore, Singapore|Department of Surgery, Yong Loo Lin School of Medicine, National University of Singapore, Singapore	('Singapore', 10)
Expert consensus on management principles of orthopedic emergency in the epidemic of Corona Virus Disease 2019	Tang, Pei-Fu; Hou, Zhi-Yong; Wu, Xin-Bao; Zhang, Chang-Qing; Wang, Jun-Wen; Xing, Xin; Shao, Zeng-Wu; Yu, Ai-Xi; Wang, Gang; Chen, Bin; Zhang, Ping; Hu, Yan-Jun; Wang, Bo-Wei; Guo, Xiao-Dong; Tang, Xin; Zhou, Dong-Sheng; Liu, Fan; Chen, Ai-Mi; Zhang, Kun; Li, Kai-Nan; Zhu, Yan-Bin	NA	2020	NA	Chinese medical journal	NA	NA	NA	NA	10.1097/CM9.0000000000000810	9861	#9620	Tang 2020	NA	* Narrative review; * Opinion piece; Infection prevention and control	10.1097/CM9.0000000000000810	Department of Orthopaedics, Department of Orthopaedics, The First Medical Center, Chinese PLA General Hospital, Beijing 100853, China|Department of Traumatology and Orthopaedics, Beijing 100035, China|Department of Orthopaedics, the Sixth People's Hospital Affiliated to Shanghai Jiaotong University, Shanghai 200233, China|Department of Orthopaedics, Wuhan Fourth Hospital, Wuhan, Hubei 430034, China|Department of Orthopaedics, Union Hospital Tongji Medical College Huazhong University of Science and Technology, Wuhan, Hubei 430022, China|Department of Trauma Microsurgery, Zhongnan Hospital of Wuhan University, Wuhan, Hubei 430071, China|Department of Orthopaedics and Traumatology, Nanfang Hospital, Southern Medical University, Guangzhou, Guangdong 510515, China|Department of Orthopaedics, The First Affiliated Hospital of Dalian Medical University, Dalian, Liaoning 116011, China|Department of Orthopedics, Shandong Provincial Hospital, Jinan, Shandong 25002, China|Department of Orthopedics, Affiliated Hospital of Nantong University, Nantong, Jiangsu 226001, China|Department of Orthopedics, Changzheng Hospital Affiliated to Naval Military Medical University, Shanghai 200003, China|Department of Orthopaedics, Honghui Hospital Affiliated to Medical college of Xi‚Äôan Jiaotong University, Xi‚Äôan 710054, Shaanxi, China|Department of Orthopaedics, Affiliated Hospital of Chengdu University, Chengdu, Sichuan 610081, China.	('China', 13)
A survey of 434 clinical trials about coronavirus disease 2019 in China	Leng, Zikuan; Yin, Dongfei; Zhao, Zhe; Yan, Miaoheng; Yang, Yanlei; He, Xijing; Zhao, Robert Chunhua; Liu, Hongjian	NA	2020	NA	Journal of Medical Virology	NA	NA	NA	NA	10.1002/jmv.25779	17662	#17549	Leng 2020	NA	* Comparative study, RCT; Clinical aspects, diagnosis, treatment	10.1002/jmv.25779	Department of Orthopaedics, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, China|Department of Orthopaedics, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, China|Department of Orthopaedics, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, China|Department of Orthopaedics, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, China|Department of Rheumatology and Clinical Immunology,¬†Peking Union Medical College Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China|Department of Orthopaedics, The Second Affiliated Hospital of Xi'an Jiaotong University, Xi'an, China|Department of Cell Biology, School of Life Sciences, Shanghai University, Shanghai, China|Department of Orthopaedics, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, China|Department of Orthopaedics, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, China|Department of Orthopaedics, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, China|Department of Orthopaedics, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, China|Department of Orthopaedics, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, China|Department of Rheumatology and Clinical Immunology,¬†Peking Union Medical College Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China|Department of Orthopaedics, The Second Affiliated Hospital of Xi'an Jiaotong University, Xi'an, China|Department of Cell Biology, School of Life Sciences, Shanghai University, Shanghai, China|Department of Orthopaedics, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, China	('China', 16)
Survey of COVID-19 Disease Among Orthopaedic Surgeons in Wuhan, Peopleâ€™s Republic of China	Guo, Xiaodong; Wang, Jiedong; Hu, Dong; Wu, Lisha; Gu, Li; Wang, Yang; Zhao, Jingjing; Zeng, Lian; Zhang, Jianduan; Wu, Yongchao	Background: Coronavirus disease 2019 (COVID-19) broke out in Wuhan, the Peopleâ€™s Republic of China, in December 2019 and now is a pandemic all around the world. Some orthopaedic surgeons in Wuhan were infected with COVID-19. Methods: We conducted a survey to identify the orthopaedic surgeons who were infected with COVID-19 in Wuhan. A self-administered questionnaire was distributed to collect information such as social demographic variables, clinical manifestations, exposure history, awareness of the outbreak, infection control training provided by hospitals, and individual protection practices. To further explore the possible risk factors at the individual level, a 1:2 matched case-control study was conducted. Results: A total of 26 orthopaedic surgeons from 8 hospitals in Wuhan were identified as having COVID-19. The incidence in each hospital varied from 1.5% to 20.7%. The onset of symptoms was from January 13 to February 5, 2020, and peaked on January 23, 8 days prior to the peak of the public epidemic. The suspected sites of exposure were general wards (79.2%), public places at the hospital (20.8%), operating rooms (12.5%), the intensive care unit (4.2%), and the outpatient clinic (4.2%). There was transmission from these doctors to others in 25% of cases, including to family members (20.8%), to colleagues (4.2%), to patients (4.2%), and to friends (4.2%). Participation in real-time training on prevention measures was found to have a protective effect against COVID-19 (odds ratio [OR], 0.12). Not wearing an N95 respirator was found to be a risk factor (OR, 5.20 [95% confidence interval (CI), 1.09 to 25.00]). Wearing respirators or masks all of the time was found to be protective (OR, 0.15). Severe fatigue was found to be a risk factor (OR, 4 [95% CI, 1 to 16]) for infection with COVID-19. Conclusions: Orthopaedic surgeons are at risk during the COVID-19 pandemic. Common places of work could be contaminated. Orthopaedic surgeons have to be more vigilant and take more precautions to avoid infection with COVID-19. Level of Evidence: Diagnostic Level IV. See Instructions for Authors for a complete description of levels of evidence. Email address for J. Zhang: jd_zh@hust.edu.cn Email address for Y. Wu: wuyongchao@hotmail.com Investigation performed at Union Hospital, Huazhong University of Science and Technology, Wuhan, Peopleâ€™s Republic of China * Xiaodong Guo, MD, PhD and Jiedong Wang, MD, contributed equally to this work. Disclosure: The authors indicated that no external funding was received for any aspect of this work. The Disclosure of Potential Conflicts of Interest forms are provided with the online version of the article (http://links.lww.com/JBJS/F827). Copyright 2020 by The Journal of Bone and Joint Surgery, Incorporated	9000	NA	JBJS	Latest Articles	NA	NA	00004623-900000000-99770	10.2106/jbjs.20.00417	44902	#42252	Guo 9000	NA	NA	10.2106/jbjs.20.00417	Department of Orthopedics (X.G., J.W., L.G., L.Z., and Y. Wu), and the Center for Stem Cell Research and Application, Institute of Hematology (D.H.), Union Hospital, Huazhong University of Science and Technology, Wuhan, People‚Äôs Republic of China|Department of Orthopedics, Wuhan Central Hospital, Wuhan, People‚Äôs Republic of China|Department of Orthopedics, Wuhan Puai Hospital, Wuhan, People‚Äôs Republic of China	('China', 3)
Characteristics and Early Prognosis of COVID-19 Infection in Fracture Patients	Mi, Bobin; Chen, Lang; Xiong, Yuan; Xue, Hang; Zhou, Wu; Liu, Guohui	Background: Studies of the novel coronavirus-induced disease COVID-19 in Wuhan, China, have elucidated the epidemiological and clinical characteristics of this disease in the general population. The present investigation summarizes the clinical characteristics and early prognosis of COVID-19 infection in a cohort of patients with fractures. Methods: Data on 10 patients with a fracture and COVID-19 were collected from 8 different hospitals located in the Hubei province from January 1, 2020, to February 27, 2020. Analyses of early prognosis were based on clinical outcomes and trends in laboratory results during treatment. Results: All 10 patients presented with limited activity related to the fracture. The most common signs were fever, cough, and fatigue at the time of presentation (7 patients each). Other, less common signs included sore throat (4 patients), dyspnea (5 patients), chest pain (1 patient), nasal congestion (1 patient), headache (1 patient), dizziness (3 patients), abdominal pain (1 patient), and vomiting (1 patient). Lymphopenia (<1.0 Ã— 109 cells/L) was identified in 6 of 10 patients, 9 of 9 patients had a high serum level of D-dimer, and 9 of 9 patients had a high level of C-reactive protein. Three patients underwent surgery, whereas the others were managed nonoperatively because of their compromised status. Four patients died on day 8 (3 patients) or day 14 (1 patient) after admission. The clinical outcomes for the surviving patients are not yet determined. Conclusions: The clinical characteristics and early prognosis of COVID-19 in patients with fracture tended to be more severe than those reported for adult patients with COVID-19 without fracture. This finding may be related to the duration between the development of symptoms and presentation. Surgical treatment should be carried out cautiously or nonoperative care should be chosen for patients with fracture in COVID-19-affected areas, especially older individuals with intertrochanteric fractures. Level of Evidence: Prognostic Level IV. See Instructions for Authors for a complete description of levels of evidence. Email address for W. Zhou: wuzhoutjmu1986@163.com Email address for Y. Xiong: xiongyuanmed@163.com Email address for G. Liu: liuguohui@hust.edu.cn * Bobin Mi, MD, PhD, and Lang Chen, MD, contributed equally to this work. Investigation performed at the Department of Orthopedics, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Peopleâ€™s Republic of China Disclosure: This work was supported by the National Science Foundation of China (No. 81772345), National Key Research & Development Program of China (No. 2018YFC2001502, 2018YFB1105705), National Health Commission of the Peopleâ€™s Republic of China (No. ZX-01-018, ZX-01-C2016153), and the Health Commission of Hubei Province (No. WJ2019Z009). The Disclosure of Potential Conflicts of Interest forms are provided with the online version of the article (http://links.lww.com/JBJS/F820). Copyright 2020 by The Journal of Bone and Joint Surgery, Incorporated	2020	NA	JBJS	Latest Articles	NA	NA	00004623-900000000-99799	10.2106/jbjs.20.00390	26274	#23504	Mi 2020	NA	NA	10.2106/jbjs.20.00390	Department of Orthopedics, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, People‚Äôs Republic of China	('China', 1)
Peer-to-Peer Contact Tracing: Development of a Privacy-Preserving Smartphone App	Yasaka, Tyler M.; Lehrich, Brandon M.; Sahyouni, Ronald	BACKGROUND: The novel coronavirus disease 2019 (COVID-19) pandemic is an urgent public health crisis, with epidemiologic models predicting severe consequences, including high death rates, if the virus is permitted to run its course without any intervention or response. Contact tracing using smartphone technology is a powerful tool that may be employed to limit disease transmission during an epidemic or pandemic; yet, contact tracing apps present significant privacy concerns regarding the collection of personal data such as location. OBJECTIVE: The aim of this study is to develop an effective contact tracing smartphone app that respects user privacy by not collecting location information or other personal data. METHODS: We propose the use of an anonymized graph of interpersonal interactions to conduct a novel form of contact tracing and have developed a proof-of-concept smartphone app that implements this approach. Additionally, we developed a computer simulation model that demonstrates the impact of our proposal on epidemic or pandemic outbreak trajectories across multiple rates of adoption. RESULTS: Our proof-of-concept smartphone app allows users to create "checkpoints" for contact tracing, check their risk level based on their past interactions, and anonymously self-report a positive status to their peer network. Our simulation results suggest that higher adoption rates of such an app may result in a better controlled epidemic or pandemic outbreak. CONCLUSIONS: Our proposed smartphone-based contact tracing method presents a novel solution that preserves privacy while demonstrating the potential to suppress an epidemic or pandemic outbreak. This app could potentially be applied to the current COVID-19 pandemic as well as other epidemics or pandemics in the future to achieve a middle ground between drastic isolation measures and unmitigated disease spread.	2020	NA	JMIR mHealth and uHealth	8	4	e18936-e18936	NA	10.2196/18936	37893	#38768	Yasaka 2020	NA	NA	10.2196/18936	Department of Otolaryngology ‚Äì Head and Neck Surgery, University of California, Irvine, Irvine, CA, United States|Department of Biomedical Engineering, University of California, Irvine, Irvine, CA, United States|Department of Otolaryngology ‚Äì Head and Neck Surgery|University of California, Irvine	('United States', 2)
